,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20
Volume,0.5107395905868237,0.5654298229674203,-0.34788516884810744,0.19175307422885882,-0.2961232335186392,0.05604108897444984,0.013519785571951267,0.05696892087336454,0.17765582327407198,0.26897606151462067,-0.13781146908688185,-0.0466295164837337,-0.04636911829903344,0.052146456457915366,0.18730555000611485,0.028831935677089107,-0.02652434013219773,0.02385123817519791,0.0063235631501961575,-0.008278348405412146,-0.011919469307716583
Cinema,-0.4643412553834101,0.3718038681490068,0.6068361418149785,-0.2868290045437041,-0.13034431149162007,0.056062913490991115,0.12389531491832204,0.2807503925127375,0.17585312009567144,-0.04418198954655039,0.039893040175768356,0.06866733467076448,-0.11011282434681263,-0.10742261512494933,0.019774243614476796,0.038162260496371656,0.10756587367775597,0.05853299103377766,-0.04036495587321244,-0.001315004864956105,-0.0014614104374193328
PIB,-0.9518838702438436,-0.10711791383971864,-0.005574625034195684,0.1855200516496827,-0.052116791247206445,-0.0023486110810032957,0.04625263298296,0.07136566162093619,0.07575945357762996,-0.03686489402784537,0.11730710459775412,0.014138586915869477,0.01947102042944951,0.015758193242750677,0.024056013121708318,0.03064808942318054,-0.013248484911877521,0.018476490050338166,0.0707481228601424,-0.09006603609260624,0.03465751869632623
Cerc,-0.7752609905731844,-0.424002778944405,0.056800417234922046,-0.10129116439323899,0.03785132191885196,-0.0810035917922034,-0.16166386146468187,0.17455349397607695,0.04803481275056553,-0.12833333247208828,-0.21674796000307672,-0.06457328253385393,0.04782291394251185,0.2203421556688114,0.06496923053035203,0.09450893581753633,0.07000443530985441,0.024575571278220826,0.02833623139145854,0.029234132657990252,0.005334283947324458
ProdVeg,0.6778075581648355,0.29506372636613604,0.20698837021278021,0.2709745645501026,-0.015813105085321574,-0.3454870923783172,-0.07875535803763253,0.189856018465207,0.17653079851808115,-0.2706069202061353,0.03662698695554328,-0.22242765222938285,-0.0828928810997823,-0.004745270192547771,-0.004640235010669519,-0.0770589665766532,-0.08100635744169343,-0.00599371114933206,0.021130135068855034,0.013172687412157765,0.010279444775623661
ProdAn,0.668527797624919,0.06424115704511099,-0.1476324255687187,0.39210150318282017,-0.21385050003454253,0.07684999197410576,-0.29277362630708637,0.31074084383456857,-0.10881974464718575,-0.04891407779813504,0.28017099037861043,0.11807596443163286,0.15939627305704665,0.027102619539577797,-0.0006604260254156783,0.07174050144188097,0.007003420931556794,0.031180260528777568,-0.014154497457018394,0.016988744618233277,-0.00440287812347369
Telefonie,-0.8329326832090248,0.3734174053617374,-0.13599574371975967,-0.026621396000519108,0.1620567411919081,-0.2218728772509245,-0.02727710828322827,-0.020118417348197158,-0.1128087648723188,0.14028760026715398,0.03538556626259629,-0.02141380072455734,-0.01735666451301674,-0.08925268026907487,-0.08306142702907988,0.04121818672424221,-0.01889895032793455,0.09689818519502592,0.0926365553952545,0.036968006964447325,-0.016221835681203424
Internet,-0.4667108764261617,0.5625426317320462,-0.260241235932559,0.3390003529433176,0.01105778972410304,-0.3339831731126139,0.19285869814250586,-0.17956996336474385,-0.2233196633181676,-0.11831829373680923,0.06485996021181936,0.0341979249230436,-0.09693104498328264,0.055073201087191256,0.039389360776952154,0.07399851128813864,0.09720303184248653,-0.04978532425875028,-0.027951723005645857,0.0077086928903505525,0.022409843601994193
Cazare,-0.39532567745237507,0.4386471787027662,0.5234357054927442,0.025436928845239796,-0.3203719233187492,0.39846872706488196,0.23677348603528275,-0.13359065865431496,-0.04973493747519865,-0.06880353266958728,0.007434230426787326,-0.006739131677128839,0.05889096047875711,0.09916777201482983,-0.04685882456704999,0.07668187321635235,-0.09741676075925042,-0.03900187798332941,0.03271249334972411,0.024053249658447195,0.002092800424463823
ExecB,-0.8558875148947552,-0.18124093470170105,0.013976332848052992,0.2584762967347358,-0.00011430901398379061,-0.1669039145114007,0.035659211999465305,-0.039115334066547595,0.16640486237091764,0.08752517963318833,0.046780192284568686,0.19018235383355436,-0.11793392791579363,0.15485611935364463,-0.05944718207603167,-0.05521574276958833,-0.10567803474220791,0.059908971824447155,-0.06113485468526382,0.013144060641772886,0.009835659895205053
RataC,0.18465120958069844,0.4346246097969245,-0.25083214743156773,-0.19622129918321565,0.7169146818818085,0.19121881612190084,0.0931544956189408,0.10819198521734481,0.2845874062824678,-0.008571691054368584,0.09962902712901062,0.044694066499035776,0.05601955772203803,0.05779495990746731,-0.0022093937405864602,0.05804790093714006,-0.017353553043543888,-0.0370044314178566,0.0007946922315359631,0.00791451291545086,0.009881845764316805
